task_id,task,val_f1,accuracy,precision,recall,f1
0,triangle vs any,0.88,0.96,1.0,0.8571428571428571,0.9230769230769231
1,square vs any,0.88,0.84,0.8571428571428571,0.6666666666666666,0.75
2,circle vs any,0.8235294117647058,0.84,0.8571428571428571,0.8571428571428571,0.8571428571428571
3,red vs any,0.9333333333333333,1.0,1.0,1.0,1.0
4,green vs any,0.9473684210526315,0.96,1.0,0.8571428571428571,0.9230769230769231
5,blue vs any,0.9090909090909091,0.88,1.0,0.75,0.8571428571428571
6,cyan vs any,1.0,1.0,1.0,1.0,1.0
7,magenta vs any,0.9090909090909091,0.96,1.0,0.8571428571428571,0.9230769230769231
8,yellow vs any,0.9473684210526315,1.0,1.0,1.0,1.0
9,red triangle on the right,0.8181818181818182,0.8,0.6363636363636364,0.875,0.7368421052631579
10,red triangle on the right and arbitrary objects,0.8387096774193549,0.8,0.8333333333333334,0.8823529411764706,0.8571428571428571
11,red triangle on the right and at least one circle and arbitrary objects,0.9473684210526315,0.88,0.8421052631578947,1.0,0.9142857142857143
12,red triangle on the right and at least one blue object and arbitrary objects,0.7647058823529411,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
13,"triangle and square, same color",0.9032258064516129,0.88,0.9375,0.8823529411764706,0.9090909090909091
14,palindrome aba,0.8387096774193549,0.64,0.6,0.75,0.6666666666666666
15,house,0.8484848484848485,0.6,0.42857142857142855,0.75,0.5454545454545454
16,car,0.9411764705882353,0.92,0.9,0.9,0.9
17,tower,0.9285714285714286,0.96,0.8888888888888888,1.0,0.9411764705882353
18,wagon,0.896551724137931,0.8,0.9230769230769231,0.75,0.8275862068965517
19,traffic light,1.0,0.92,1.0,0.3333333333333333,0.5
