task_id,task,model,val_f1,accuracy,precision,recall,f1
0,triangle vs any,tree,0.6470588235294118,0.44,0.29411764705882354,0.7142857142857143,0.4166666666666667
1,square vs any,logistic,0.5,0.6,0.42857142857142855,0.3333333333333333,0.375
2,circle vs any,logistic,0.42857142857142855,0.52,0.75,0.21428571428571427,0.3333333333333333
3,red vs any,logistic,0.64,0.68,0.5,1.0,0.6666666666666666
4,green vs any,logistic,0.5714285714285714,0.84,1.0,0.42857142857142855,0.6
5,blue vs any,logistic,0.2857142857142857,0.72,1.0,0.4166666666666667,0.5882352941176471
6,cyan vs any,logistic,0.625,0.84,1.0,0.42857142857142855,0.6
7,magenta vs any,logistic,0.6,0.64,0.4375,1.0,0.6086956521739131
8,yellow vs any,logistic,0.75,0.84,1.0,0.2,0.3333333333333333
9,red triangle on the right,tree,0.56,0.76,0.6,0.75,0.6666666666666666
10,red triangle on the right and arbitrary objects,tree,0.7142857142857143,0.64,0.9,0.5294117647058824,0.6666666666666666
11,red triangle on the right and at least one circle and arbitrary objects,tree,0.5517241379310345,0.48,0.6666666666666666,0.375,0.48
12,red triangle on the right and at least one blue object and arbitrary objects,logistic,0.7894736842105263,0.6,0.6470588235294118,0.7333333333333333,0.6875
13,"triangle and square, same color",logistic,0.48,0.6,0.7333333333333333,0.6470588235294118,0.6875
14,palindrome aba,tree,0.8125,0.64,0.6153846153846154,0.6666666666666666,0.64
15,house,logistic,0.625,0.4,0.26666666666666666,0.5,0.34782608695652173
16,car,logistic,0.9473684210526315,0.72,0.5882352941176471,1.0,0.7407407407407407
17,tower,logistic,0.7096774193548387,0.52,0.3,0.375,0.3333333333333333
18,wagon,tree,0.5833333333333334,0.44,0.5833333333333334,0.4375,0.5
19,traffic light,tree,0.6666666666666666,0.64,0.25,1.0,0.4
