task_id,task,model_perceptual,f1_perceptual,model_all,f1_all,delta_f1
0,triangle vs any,logistic,0.4,tree,0.4166666666666667,0.016666666666666663
1,square vs any,tree,0.4444444444444444,logistic,0.375,-0.06944444444444442
2,circle vs any,logistic,0.42105263157894735,logistic,0.3333333333333333,-0.08771929824561403
3,red vs any,logistic,0.6666666666666666,logistic,0.6666666666666666,0.0
4,green vs any,logistic,0.6,logistic,0.6,0.0
5,blue vs any,logistic,0.5882352941176471,logistic,0.5882352941176471,0.0
6,cyan vs any,logistic,0.6,logistic,0.6,0.0
7,magenta vs any,logistic,0.6086956521739131,logistic,0.6086956521739131,0.0
8,yellow vs any,logistic,0.3333333333333333,logistic,0.3333333333333333,0.0
9,red triangle on the right,logistic,0.5714285714285714,tree,0.6666666666666666,0.09523809523809523
10,red triangle on the right and arbitrary objects,logistic,0.6206896551724138,tree,0.6666666666666666,0.04597701149425282
11,red triangle on the right and at least one circle and arbitrary objects,logistic,0.5625,tree,0.48,-0.08250000000000002
12,red triangle on the right and at least one blue object and arbitrary objects,tree,0.7096774193548387,logistic,0.6875,-0.022177419354838745
13,"triangle and square, same color",logistic,0.7272727272727273,logistic,0.6875,-0.03977272727272729
14,palindrome aba,tree,0.42857142857142855,tree,0.64,0.21142857142857147
15,house,tree,0.43478260869565216,logistic,0.34782608695652173,-0.08695652173913043
16,car,tree,0.6666666666666666,logistic,0.7407407407407407,0.07407407407407407
17,tower,logistic,0.47619047619047616,logistic,0.3333333333333333,-0.14285714285714285
18,wagon,tree,0.5,tree,0.5,0.0
19,traffic light,logistic,0.42857142857142855,tree,0.4,-0.028571428571428525
