task_id,task,f1_perceptual,f1_perceptual_plus_relations,best_model,delta_f1
0,triangle vs any,0.9230769230769231,0.9230769230769231,logistic,0.0
1,square vs any,0.75,0.75,logistic,0.0
2,circle vs any,0.8571428571428571,0.8571428571428571,logistic,0.0
3,red vs any,1.0,1.0,logistic,0.0
4,green vs any,0.7368421052631579,0.7368421052631579,logistic,0.0
5,blue vs any,0.96,0.96,logistic,0.0
6,cyan vs any,1.0,1.0,logistic,0.0
7,magenta vs any,0.9230769230769231,0.9230769230769231,logistic,0.0
8,yellow vs any,0.9090909090909091,0.9090909090909091,logistic,0.0
9,red triangle on the right,0.7368421052631579,0.8,logistic,0.06315789473684219
10,red triangle on the right and arbitrary objects,0.8571428571428571,0.8823529411764706,logistic,0.025210084033613467
11,red triangle on the right and at least one circle and arbitrary objects,0.8484848484848485,0.8484848484848485,tree,0.0
12,red triangle on the right and at least one blue object and arbitrary objects,0.8235294117647058,0.7878787878787878,logistic,-0.035650623885918
13,"triangle and square, same color",0.5925925925925926,0.8484848484848485,tree,0.25589225589225595
14,palindrome aba,0.6956521739130435,0.6956521739130435,tree,0.0
15,house,0.43478260869565216,0.36363636363636365,logistic,-0.07114624505928852
16,car,0.7368421052631579,0.8421052631578947,logistic,0.10526315789473684
17,tower,0.9411764705882353,0.9411764705882353,logistic,0.0
18,wagon,0.7857142857142857,0.8275862068965517,logistic,0.041871921182266014
19,traffic light,0.14285714285714285,0.2222222222222222,tree,0.07936507936507936
