task_id,task,f1_perceptual,f1_perceptual_plus_relations,best_model,delta_f1
0,triangle vs any,0.8333333333333334,0.8333333333333334,tree,0.0
1,square vs any,0.631578947368421,0.631578947368421,tree,0.0
2,circle vs any,0.5333333333333333,0.5333333333333333,logistic,0.0
3,red vs any,0.8888888888888888,0.8888888888888888,logistic,0.0
4,green vs any,0.7,0.7,logistic,0.0
5,blue vs any,0.9230769230769231,0.9230769230769231,logistic,0.0
6,cyan vs any,0.9230769230769231,0.9230769230769231,logistic,0.0
7,magenta vs any,0.9230769230769231,0.9230769230769231,logistic,0.0
8,yellow vs any,1.0,1.0,logistic,0.0
9,red triangle on the right,0.6666666666666666,0.6666666666666666,tree,0.0
10,red triangle on the right and arbitrary objects,0.7096774193548387,0.8125,tree,0.10282258064516125
11,red triangle on the right and at least one circle and arbitrary objects,0.875,0.8823529411764706,tree,0.007352941176470562
12,red triangle on the right and at least one blue object and arbitrary objects,0.8,0.8,tree,0.0
13,"triangle and square, same color",0.6451612903225806,0.6896551724137931,tree,0.04449388209121252
14,palindrome aba,0.5,0.48,logistic,-0.020000000000000018
15,house,0.36363636363636365,0.2962962962962963,tree,-0.06734006734006737
16,car,0.43478260869565216,0.6666666666666666,logistic,0.23188405797101447
17,tower,0.8888888888888888,0.8888888888888888,logistic,0.0
18,wagon,0.8,0.7878787878787878,logistic,-0.0121212121212122
19,traffic light,0.2857142857142857,0.0,logistic,-0.2857142857142857
