task_id,task,model,term,importance_signed,importance_abs
0,triangle vs any,logistic,n_objects,0.15158221278719697,0.15158221278719697
0,triangle vs any,logistic,count_shape_triangle,1.7289867409339714,1.7289867409339714
0,triangle vs any,logistic,mean_x_triangle,0.3297886136380605,0.3297886136380605
0,triangle vs any,logistic,mean_y_triangle,-0.26419795198051216,0.26419795198051216
0,triangle vs any,logistic,count_shape_square,-0.8999734552489173,0.8999734552489173
0,triangle vs any,logistic,mean_x_square,-0.09040550439750958,0.09040550439750958
0,triangle vs any,logistic,mean_y_square,0.2832292465126675,0.2832292465126675
0,triangle vs any,logistic,count_shape_circle,-0.9418920000426536,0.9418920000426536
0,triangle vs any,logistic,mean_x_circle,-0.1703557560359541,0.1703557560359541
0,triangle vs any,logistic,mean_y_circle,0.1503216916769033,0.1503216916769033
0,triangle vs any,logistic,count_color_red,0.0011697860065429115,0.0011697860065429115
0,triangle vs any,logistic,count_color_green,-0.08906087337596613,0.08906087337596613
0,triangle vs any,logistic,count_color_blue,0.138294209818687,0.138294209818687
0,triangle vs any,logistic,count_color_cyan,0.13250375159261873,0.13250375159261873
0,triangle vs any,logistic,count_color_magenta,0.05349298046047321,0.05349298046047321
0,triangle vs any,logistic,count_color_yellow,-0.09651846632341408,0.09651846632341408
0,triangle vs any,logistic,count_size_small,0.0703228321186946,0.0703228321186946
0,triangle vs any,logistic,count_size_large,0.04103873415857101,0.04103873415857101
0,triangle vs any,logistic,mean_x_all,0.07212182976771409,0.07212182976771409
0,triangle vs any,logistic,mean_y_all,0.04412625873619049,0.04412625873619049
0,triangle vs any,logistic,std_x_all,0.0,0.0
0,triangle vs any,logistic,std_y_all,0.0,0.0
0,triangle vs any,logistic,pair_left_right,0.0,0.0
0,triangle vs any,logistic,pair_above_below,0.0,0.0
0,triangle vs any,logistic,pair_diagonal,0.0,0.0
0,triangle vs any,logistic,pair_same_shape,0.0,0.0
0,triangle vs any,logistic,pair_same_color,0.0,0.0
0,triangle vs any,logistic,pair_same_size,0.0,0.0
0,triangle vs any,logistic,pair_horiz_aligned,0.0,0.0
0,triangle vs any,logistic,pair_vert_aligned,0.0,0.0
0,triangle vs any,logistic,pair_close,0.0,0.0
0,triangle vs any,tree,n_objects,0.016563146997932054,0.016563146997932054
0,triangle vs any,tree,count_shape_triangle,0.983436853002068,0.983436853002068
0,triangle vs any,ebm,count_shape_triangle,,2.1535605150755543
0,triangle vs any,ebm,count_shape_circle,,1.730513738875308
0,triangle vs any,ebm,count_shape_square,,1.6563827054302784
0,triangle vs any,ebm,mean_y_triangle,,0.6379667317429368
0,triangle vs any,ebm,mean_y_square,,0.6338208001080499
0,triangle vs any,ebm,mean_x_triangle,,0.5676049297971709
0,triangle vs any,ebm,mean_x_square,,0.5557967837474093
0,triangle vs any,ebm,mean_y_circle,,0.5256288997993308
0,triangle vs any,ebm,mean_x_circle,,0.5168216294850435
0,triangle vs any,ebm,count_color_blue,,0.34039929617170855
0,triangle vs any,ebm,mean_x_all,,0.30109841828712375
0,triangle vs any,ebm,count_color_green,,0.15334642217468505
0,triangle vs any,ebm,n_objects,,0.14295953966165983
0,triangle vs any,ebm,mean_y_all,,0.14234744990545134
0,triangle vs any,ebm,count_color_cyan,,0.08386439140754232
0,triangle vs any,ebm,count_size_small,,0.047774686597018834
0,triangle vs any,ebm,count_size_large,,0.0471593179278214
