task_id,task,model,val_f1,accuracy,precision,recall,f1
0,triangle vs any,logistic,0.88,0.96,1.0,0.8571428571428571,0.9230769230769231
1,square vs any,logistic,0.88,0.84,0.8571428571428571,0.6666666666666666,0.75
2,circle vs any,logistic,0.8235294117647058,0.84,0.8571428571428571,0.8571428571428571,0.8571428571428571
3,red vs any,logistic,0.9333333333333333,1.0,1.0,1.0,1.0
4,green vs any,logistic,0.8333333333333334,0.8,0.5833333333333334,1.0,0.7368421052631579
5,blue vs any,logistic,0.75,0.96,0.9230769230769231,1.0,0.96
6,cyan vs any,logistic,1.0,1.0,1.0,1.0,1.0
7,magenta vs any,logistic,0.9090909090909091,0.96,1.0,0.8571428571428571,0.9230769230769231
8,yellow vs any,logistic,0.9523809523809523,0.96,0.8333333333333334,1.0,0.9090909090909091
9,red triangle on the right,logistic,0.9,0.84,0.6666666666666666,1.0,0.8
10,red triangle on the right and arbitrary objects,logistic,0.8275862068965517,0.84,0.8823529411764706,0.8823529411764706,0.8823529411764706
11,red triangle on the right and at least one circle and arbitrary objects,tree,0.8888888888888888,0.8,0.8235294117647058,0.875,0.8484848484848485
12,red triangle on the right and at least one blue object and arbitrary objects,logistic,0.7222222222222222,0.72,0.7222222222222222,0.8666666666666667,0.7878787878787878
13,"triangle and square, same color",tree,0.7586206896551724,0.8,0.875,0.8235294117647058,0.8484848484848485
14,palindrome aba,tree,0.6923076923076923,0.72,0.7272727272727273,0.6666666666666666,0.6956521739130435
15,house,logistic,0.8387096774193549,0.44,0.2857142857142857,0.5,0.36363636363636365
16,car,logistic,0.9411764705882353,0.88,0.8888888888888888,0.8,0.8421052631578947
17,tower,logistic,1.0,0.96,0.8888888888888888,1.0,0.9411764705882353
18,wagon,logistic,0.9655172413793104,0.8,0.9230769230769231,0.75,0.8275862068965517
19,traffic light,tree,1.0,0.72,0.16666666666666666,0.3333333333333333,0.2222222222222222
