task_id,task,model,val_f1,accuracy,precision,recall,f1
0,triangle vs any,logistic,0.5806451612903226,0.52,0.3076923076923077,0.5714285714285714,0.4
1,square vs any,tree,0.6923076923076923,0.6,0.4444444444444444,0.4444444444444444,0.4444444444444444
2,circle vs any,logistic,0.625,0.56,0.8,0.2857142857142857,0.42105263157894735
3,red vs any,logistic,0.64,0.68,0.5,1.0,0.6666666666666666
4,green vs any,logistic,0.5714285714285714,0.84,1.0,0.42857142857142855,0.6
5,blue vs any,logistic,0.2857142857142857,0.72,1.0,0.4166666666666667,0.5882352941176471
6,cyan vs any,logistic,0.625,0.84,1.0,0.42857142857142855,0.6
7,magenta vs any,logistic,0.6,0.64,0.4375,1.0,0.6086956521739131
8,yellow vs any,logistic,0.75,0.84,1.0,0.2,0.3333333333333333
9,red triangle on the right,logistic,0.43478260869565216,0.76,0.6666666666666666,0.5,0.5714285714285714
10,red triangle on the right and arbitrary objects,logistic,0.5714285714285714,0.56,0.75,0.5294117647058824,0.6206896551724138
11,red triangle on the right and at least one circle and arbitrary objects,logistic,0.6451612903225806,0.44,0.5625,0.5625,0.5625
12,red triangle on the right and at least one blue object and arbitrary objects,tree,0.8108108108108109,0.64,0.6875,0.7333333333333333,0.7096774193548387
13,"triangle and square, same color",logistic,0.5,0.64,0.75,0.7058823529411765,0.7272727272727273
14,palindrome aba,tree,0.5714285714285714,0.36,0.375,0.5,0.42857142857142855
15,house,tree,0.625,0.48,0.3333333333333333,0.625,0.43478260869565216
16,car,tree,0.7272727272727273,0.6,0.5,1.0,0.6666666666666666
17,tower,logistic,0.7096774193548387,0.56,0.38461538461538464,0.625,0.47619047619047616
18,wagon,tree,0.5833333333333334,0.44,0.5833333333333334,0.4375,0.5
19,traffic light,logistic,0.8,0.68,0.2727272727272727,1.0,0.42857142857142855
