task_id,task,model,val_f1,accuracy,precision,recall,f1
0,triangle vs any,logistic,0.88,0.96,1.0,0.8571428571428571,0.9230769230769231
1,square vs any,logistic,0.88,0.84,0.8571428571428571,0.6666666666666666,0.75
2,circle vs any,logistic,0.8235294117647058,0.84,0.8571428571428571,0.8571428571428571,0.8571428571428571
3,red vs any,logistic,0.9333333333333333,1.0,1.0,1.0,1.0
4,green vs any,logistic,0.8333333333333334,0.8,0.5833333333333334,1.0,0.7368421052631579
5,blue vs any,logistic,0.75,0.96,0.9230769230769231,1.0,0.96
6,cyan vs any,logistic,1.0,1.0,1.0,1.0,1.0
7,magenta vs any,logistic,0.9090909090909091,0.96,1.0,0.8571428571428571,0.9230769230769231
8,yellow vs any,logistic,0.9523809523809523,0.96,0.8333333333333334,1.0,0.9090909090909091
9,red triangle on the right,logistic,0.9,0.8,0.6363636363636364,0.875,0.7368421052631579
10,red triangle on the right and arbitrary objects,logistic,0.896551724137931,0.8,0.8333333333333334,0.8823529411764706,0.8571428571428571
11,red triangle on the right and at least one circle and arbitrary objects,tree,0.8888888888888888,0.8,0.8235294117647058,0.875,0.8484848484848485
12,red triangle on the right and at least one blue object and arbitrary objects,tree,0.6875,0.76,0.7368421052631579,0.9333333333333333,0.8235294117647058
13,"triangle and square, same color",logistic,0.4,0.56,0.8,0.47058823529411764,0.5925925925925926
14,palindrome aba,tree,0.6923076923076923,0.72,0.7272727272727273,0.6666666666666666,0.6956521739130435
15,house,logistic,0.8387096774193549,0.48,0.3333333333333333,0.625,0.43478260869565216
16,car,tree,0.8888888888888888,0.8,0.7777777777777778,0.7,0.7368421052631579
17,tower,tree,1.0,0.96,0.8888888888888888,1.0,0.9411764705882353
18,wagon,logistic,0.9655172413793104,0.76,0.9166666666666666,0.6875,0.7857142857142857
19,traffic light,tree,0.6666666666666666,0.52,0.09090909090909091,0.3333333333333333,0.14285714285714285
