task_id,task,model,val_f1,accuracy,precision,recall,f1
0,triangle vs any,tree,0.782608695652174,0.92,1.0,0.7142857142857143,0.8333333333333334
1,square vs any,tree,0.7586206896551724,0.72,0.6,0.6666666666666666,0.631578947368421
2,circle vs any,logistic,0.56,0.44,0.5,0.5714285714285714,0.5333333333333333
3,red vs any,logistic,1.0,0.92,0.8,1.0,0.8888888888888888
4,green vs any,logistic,0.7692307692307693,0.76,0.5384615384615384,1.0,0.7
5,blue vs any,logistic,0.75,0.92,0.8571428571428571,1.0,0.9230769230769231
6,cyan vs any,logistic,0.9523809523809523,0.96,1.0,0.8571428571428571,0.9230769230769231
7,magenta vs any,logistic,0.9090909090909091,0.96,1.0,0.8571428571428571,0.9230769230769231
8,yellow vs any,logistic,0.8888888888888888,1.0,1.0,1.0,1.0
9,red triangle on the right,tree,0.7272727272727273,0.8,0.7142857142857143,0.625,0.6666666666666666
10,red triangle on the right and arbitrary objects,logistic,0.7333333333333333,0.64,0.7857142857142857,0.6470588235294118,0.7096774193548387
11,red triangle on the right and at least one circle and arbitrary objects,tree,0.7647058823529411,0.84,0.875,0.875,0.875
12,red triangle on the right and at least one blue object and arbitrary objects,tree,0.7777777777777778,0.72,0.7,0.9333333333333333,0.8
13,"triangle and square, same color",tree,0.6451612903225806,0.56,0.7142857142857143,0.5882352941176471,0.6451612903225806
14,palindrome aba,logistic,0.6896551724137931,0.52,0.5,0.5,0.5
15,house,logistic,0.8125,0.44,0.2857142857142857,0.5,0.36363636363636365
16,car,tree,0.7619047619047619,0.48,0.38461538461538464,0.5,0.43478260869565216
17,tower,logistic,0.9090909090909091,0.92,0.8,1.0,0.8888888888888888
18,wagon,logistic,0.8148148148148148,0.76,0.8571428571428571,0.75,0.8
19,traffic light,logistic,0.0,0.8,0.25,0.3333333333333333,0.2857142857142857
