predicate,task_id,mean_score_drop,positive_score_drop
has_triangle,0,0.3580820560455322,0.9026800990104675
has_triangle,1,0.0,0.0
has_triangle,2,0.0,0.0
has_triangle,3,0.0,0.0
has_triangle,4,0.0,0.0
has_triangle,5,0.0,0.0
has_triangle,6,0.0,0.0
has_triangle,7,0.0,0.0
has_triangle,8,0.0,0.0
has_triangle,9,0.0,0.0
has_triangle,10,0.0,0.0
has_triangle,11,0.0,0.0
has_triangle,12,0.0,0.0
has_triangle,13,0.0,0.0
has_triangle,14,0.0,0.0
has_triangle,15,0.0,0.0
has_triangle,16,0.0,0.0
has_triangle,17,0.0,0.0
has_triangle,18,0.0,0.0
has_triangle,19,0.0,0.0
has_square,0,0.0,0.0
has_square,1,0.5092198848724365,0.8419771194458008
has_square,2,0.0,0.0
has_square,3,0.0,0.0
has_square,4,0.0,0.0
has_square,5,0.0,0.0
has_square,6,0.0,0.0
has_square,7,0.0,0.0
has_square,8,0.0,0.0
has_square,9,0.0,0.0
has_square,10,0.0,0.0
has_square,11,0.0,0.0
has_square,12,0.0,0.0
has_square,13,0.0,0.0
has_square,14,0.0,0.0
has_square,15,0.0,0.0
has_square,16,0.0,0.0
has_square,17,0.0,0.0
has_square,18,0.0,0.0
has_square,19,0.0,0.0
has_circle,0,0.0,0.0
has_circle,1,0.0,0.0
has_circle,2,0.46569374203681946,0.7252249121665955
has_circle,3,0.0,0.0
has_circle,4,0.0,0.0
has_circle,5,0.0,0.0
has_circle,6,0.0,0.0
has_circle,7,0.0,0.0
has_circle,8,0.0,0.0
has_circle,9,0.0,0.0
has_circle,10,0.0,0.0
has_circle,11,0.0,0.0
has_circle,12,0.0,0.0
has_circle,13,0.0,0.0
has_circle,14,0.0,0.0
has_circle,15,0.0,0.0
has_circle,16,0.0,0.0
has_circle,17,0.0,0.0
has_circle,18,0.0,0.0
has_circle,19,0.0,0.0
has_red,0,0.0,0.0
has_red,1,0.0,0.0
has_red,2,0.0,0.0
