task_id,task_name,variant,case_type,filename,mean,max,high_saliency_fraction,center_x,center_y
0,triangle vs any,pretrained,TP,0/0003.png,0.012802111548062281,1.0,1.992984693877551e-05,0.6863112226743472,0.28666748153715627
0,triangle vs any,pretrained,FP,0/0019.png,0.005085567433617349,1.0,9.964923469387755e-05,0.7226010931324182,0.2659585367479888
0,triangle vs any,pretrained,TN,0/0013.png,0.02780329558284911,1.0,0.0002192283163265306,0.640206512499171,0.3553834135208015
0,triangle vs any,scratch,TP,0/0010.png,0.14472801364495214,1.0,1.992984693877551e-05,0.4794556040528467,0.4648914090853823
0,triangle vs any,scratch,FP,0/0012.png,0.1569311369089043,1.0,0.00023915816326530612,0.48506626599198743,0.45799100783601404
9,red triangle on the right,pretrained,TP,9/0016.png,0.012796129455175987,1.0,5.978954081632653e-05,0.6237946561099272,0.4455746179174847
9,red triangle on the right,pretrained,TN,9/0012.png,0.020987589461344294,1.0,3.985969387755102e-05,0.563470813063988,0.43516663912378234
9,red triangle on the right,scratch,TP,9/0004.png,0.14763865187906017,1.0,0.00015943877551020407,0.4680977139052661,0.45925285430070767
9,red triangle on the right,scratch,FP,9/0010.png,0.12358237644628166,1.0,3.985969387755102e-05,0.4661461550658849,0.46036813284677053
13,"triangle and square, same color",pretrained,TP,13/0010.png,0.050646654196393866,1.0,0.00029894770408163266,0.3573881757552539,0.5551974450287097
13,"triangle and square, same color",pretrained,FP,13/0022.png,0.05462647622143997,1.0,0.0003587372448979592,0.3832950033889463,0.5533906919774407
13,"triangle and square, same color",pretrained,FN,13/0023.png,0.05198327984695983,1.0,5.978954081632653e-05,0.48164182307350245,0.4222323528578327
13,"triangle and square, same color",pretrained,TN,13/0000.png,0.040390052445513774,1.0,7.971938775510203e-05,0.44633442553427927,0.43143234720524315
13,"triangle and square, same color",scratch,FP,13/0021.png,0.09116898856982701,1.0,0.00023915816326530612,0.46234420537550186,0.4649491886783971
13,"triangle and square, same color",scratch,FN,13/0004.png,0.1813086299956706,1.0,0.00025908801020408165,0.47338445144247493,0.4682462817297419
13,"triangle and square, same color",scratch,TN,13/0013.png,0.15515392599887115,1.0,0.00015943877551020407,0.4760554195437475,0.46365644120898303
14,palindrome aba,pretrained,TP,14/0008.png,0.04406764760522674,1.0,3.985969387755102e-05,0.5055458521562161,0.5393196527279809
14,palindrome aba,pretrained,FP,14/0007.png,0.08446152099083998,1.0,0.0006576849489795918,0.4530827109864962,0.5378397206620387
14,palindrome aba,pretrained,FN,14/0024.png,0.048029897494435175,1.0,3.985969387755102e-05,0.4668823349079859,0.5174435445325667
14,palindrome aba,pretrained,TN,14/0001.png,0.04676706201074349,1.0,7.971938775510203e-05,0.5129191310273628,0.5070809818179527
14,palindrome aba,scratch,TP,14/0021.png,0.1442298580221851,1.0,0.0001793686224489796,0.4640097846662976,0.4672927039691168
14,palindrome aba,scratch,FP,14/0017.png,0.10809491660512666,1.0,5.978954081632653e-05,0.46369267210561527,0.46274646725462565
19,traffic light,pretrained,TP,19/0022.png,0.028074144641217588,1.0,9.964923469387755e-05,0.662054426878212,0.3639632703267751
19,traffic light,pretrained,FP,19/0006.png,0.025026307358668586,1.0,3.985969387755102e-05,0.6718372114145647,0.3291971041010519
19,traffic light,pretrained,TN,19/0017.png,0.026610805207959356,1.0,3.985969387755102e-05,0.5104408570697403,0.4510303950434872
19,traffic light,scratch,FN,19/0007.png,0.08185807355377957,1.0,9.964923469387755e-05,0.49790044438283443,0.45437095337393657
19,traffic light,scratch,TN,19/0006.png,0.10318137004324396,1.0,0.00013950892857142856,0.4854322916361982,0.469986829597159
